>>> repeatability probe start 2026-08-17 05:35:53
[preflight] custody controls verified for 1 problem(s); keys sealed and unreadable by execution
[phase: development] results are for post-mortems and convergence checking, NOT for the paper's evaluation table.
2026-08-17 06:04:11,667 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:04:11,675 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:04:23,334 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:04:23,335 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:04:23,336 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:04:23,336 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:04:23,340 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:04:23,342 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:04:23,342 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:04:23,345 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:04:23,345 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:04:23,348 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:04:23,349 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:04:23,351 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:04:23,351 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:04:23,356 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:04:23,356 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:04:23,356 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:04:23,364 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:04:27,558 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:04:27,567 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_802622d8-3bfa-4f69-a737-6e48f537521e.json (1 events)
2026-08-17 06:04:33,168 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:04:33,169 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:04:33,169 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:04:33,170 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:04:33,174 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:04:33,176 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:04:33,176 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:04:33,179 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:04:33,179 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:04:33,182 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:04:33,182 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:04:33,185 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:04:33,185 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:04:33,190 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:04:33,190 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:04:33,190 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:04:33,198 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:06:10,097 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:06:10,103 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_2bcffbbd-9689-48f7-a9a0-524b240abe5f.json (1 events)
2026-08-17 06:06:13,627 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:06:13,628 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:06:13,629 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:06:13,629 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:06:13,633 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:06:13,635 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:06:13,635 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:06:13,638 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:06:13,638 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:06:13,642 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:06:13,642 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:06:13,644 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:06:13,644 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:06:13,649 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:06:13,649 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:06:13,649 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:06:13,657 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
[preflight] quarantined 1 directory(ies) of prior agent scratch so this run cannot read them:
             /tmp/coupled_elasticity -> runs_quarantine/stray_scratch/coupled_elasticity__4
[preflight] custody controls verified for 1 problem(s); keys sealed and unreadable by execution
[phase: development] results are for post-mortems and convergence checking, NOT for the paper's evaluation table.
[KR2 27b BARE s1] done  calls=187 tok=12660200/88275 1854.4s
2026-08-17 06:06:57,520 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:06:57,522 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:06:57,522 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:06:57,523 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:06:57,528 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:06:57,531 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:06:57,531 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:06:57,534 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:06:57,534 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:06:57,539 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:06:57,539 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:06:57,542 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:06:57,542 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:06:57,548 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:06:57,548 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:06:57,548 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:06:57,561 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:06,750 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:06,751 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:06,752 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:06,752 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:06,756 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:06,757 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:06,758 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:06,758 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:06,758 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:06,759 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:06,759 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:06,761 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:06,761 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:06,763 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:06,765 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:06,765 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:06,765 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:06,766 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:06,767 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:06,767 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:06,768 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:06,768 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:06,772 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:06,772 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:06,772 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:06,772 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:06,772 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:06,774 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:06,774 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:06,780 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:06,780 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:06,780 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:06,781 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:06,788 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:06,903 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:10,275 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:10,282 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_8620e5f1-4d60-42a2-b563-73c766f98b4c.json (1 events)
2026-08-17 06:07:18,133 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:18,134 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:18,134 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:18,135 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:18,140 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:18,142 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:18,142 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:18,142 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:18,143 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:18,144 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:18,144 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:18,146 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:18,146 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:18,149 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:18,150 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:18,150 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:18,152 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:18,152 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:18,153 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:18,153 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:18,155 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:18,155 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:18,159 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:18,159 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:18,159 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:18,159 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:18,159 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:18,162 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:18,162 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:18,168 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:18,168 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:18,169 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:18,169 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:18,173 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:18,179 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:18,180 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_9a179661-b225-481c-9f74-11593267d4af.json (1 events)
2026-08-17 06:07:18,184 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:34,872 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:34,873 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:34,873 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:34,874 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:34,878 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:34,880 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:34,880 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:34,883 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:34,883 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:34,883 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:34,884 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:34,884 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:34,885 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:34,886 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:34,886 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:34,888 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:34,889 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:34,889 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:34,891 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:34,891 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:34,893 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:34,893 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:34,894 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:34,894 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:34,894 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:34,897 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:34,897 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:34,899 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:34,900 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:34,900 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:34,901 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:34,901 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:34,902 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:34,902 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:34,904 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:34,905 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:34,905 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:34,906 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:34,906 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:34,910 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:34,910 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:34,913 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:34,913 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:34,913 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:34,917 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:34,917 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:34,919 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:34,919 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:34,924 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:34,924 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:34,924 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:34,927 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:34,934 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_ec1815f4-9956-4cc1-bf18-eb894457102a.json (1 events)
2026-08-17 06:07:34,935 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:34,941 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:34,948 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_6b826764-ab59-4f23-ace1-a9626b94fe7d.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:07:39,654 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:07:39,656 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:07:39,656 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:07:39,657 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:07:39,660 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:07:39,663 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:07:39,663 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:07:39,665 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:07:39,665 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:07:39,669 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:07:39,669 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:07:39,672 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:07:39,672 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:07:39,677 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:07:39,677 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:07:39,677 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:07:39,685 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:07:39,689 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:07:48,809 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:07:48,817 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_61d2cbf9-e6ad-4ceb-8cea-36047dcfaf58.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:08:09,822 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:08:09,823 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:08:09,823 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:08:09,824 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:08:09,824 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:08:09,825 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:08:09,825 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:08:09,826 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:08:09,828 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:08:09,829 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:08:09,831 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:08:09,831 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:08:09,832 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:08:09,832 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:08:09,833 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:08:09,833 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:08:09,835 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:08:09,835 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:08:09,837 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:08:09,837 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:08:09,838 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:08:09,838 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:08:09,839 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:08:09,839 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:08:09,841 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:08:09,841 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:08:09,844 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:08:09,845 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:08:09,845 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:08:09,846 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:08:09,846 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:08:09,846 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:08:09,852 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:08:09,854 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:08:09,858 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:08:09,864 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_0a091f5e-2388-4181-b088-7db95b8b7fc2.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:290: LangGraphDeprecatedSinceV10: create_react_agent has been moved to `langchain.agents`. Please update your import to `from langchain.agents import create_agent`. Deprecated in LangGraph V1.0 to be removed in V2.0.
  sub_agent = create_react_agent(
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:290: LangGraphDeprecatedSinceV10: create_react_agent has been moved to `langchain.agents`. Please update your import to `from langchain.agents import create_agent`. Deprecated in LangGraph V1.0 to be removed in V2.0.
  sub_agent = create_react_agent(
2026-08-17 06:09:43,277 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:09:43,284 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_e4b1e294-a60e-48eb-bd01-55e9e585500e.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:09:48,759 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:09:48,760 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:09:48,760 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:09:48,761 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:09:48,764 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:09:48,767 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:09:48,767 [oasis.ngsolve] INFO: NGSolve backend registered
